iter	RMSE
160	2.148252673
161	2.147523389
162	2.145501871
163	2.142788342
164	2.141420108
165	2.138534388
166	2.136403684
167	2.135638497
168	2.133765824
169	2.132318988
170	2.130787814
171	2.12967447
172	2.129018198
173	2.127131548
174	2.123418071
175	2.122307257
176	2.121155558
177	2.119969081
178	2.118132432
179	2.115791834
180	2.114244962
181	2.112107991
182	2.110001562
183	2.108422304
184	2.107468184
185	2.105483743
186	2.103758787
187	2.101651692
188	2.099744709
189	2.098557781
190	2.096933448
191	2.095269239
192	2.093047392
193	2.092296927
194	2.089825049
195	2.088260054
196	2.086472052
197	2.084418638
198	2.082728048
199	2.081023627
200	2.078707337
201	2.076938295
202	2.075074205
203	2.073545615
204	2.072296746
205	2.071054505
206	2.069635634
207	2.067350671
208	2.066444557
209	2.06561235
210	2.064520437
211	2.063115434
212	2.061176057
213	2.059689013
214	2.058330734
215	2.05615905
216	2.054774926
217	2.052641358
218	2.050227923
219	2.049073389
220	2.047349296
221	2.045577548
222	2.044562718
223	2.043394164
224	2.041927008
225	2.039473206
226	2.038777077
227	2.036078605
228	2.034440045
229	2.032300384
230	2.031710854
231	2.030318546
232	2.028245483
233	2.026715326
234	2.024833886
235	2.023482087
236	2.022365435
237	2.021804185
238	2.020989925
239	2.019319235
240	2.018353675
241	2.016389247
242	2.015154157
243	2.013799215
244	2.012129704
245	2.011074174
246	2.009523973
247	2.008379901
248	2.006570042
249	2.00518792
250	2.003407005
251	2.001318019
252	1.999268245
253	1.997514102
254	1.995722699
255	1.994061176
256	1.992602071
257	1.991584334
258	1.989814664
259	1.988056812
260	1.98728293
261	1.986404683
262	1.985338925
263	1.983803375
264	1.982135394
265	1.981392719
266	1.98025651
267	1.978452616
268	1.977469015
269	1.976435629
270	1.974327274
271	1.972607665
272	1.971629438
273	1.970248791
274	1.968400126
275	1.966779627
276	1.965459277
277	1.963944134
278	1.963129276
279	1.961432289
280	1.960305123
281	1.959581089
282	1.95849573
283	1.957444275
284	1.954831428
285	1.953101889
286	1.952192749
287	1.950888738
288	1.950001303
289	1.948452484
290	1.94676524
291	1.94521545
292	1.944349247
293	1.942415786
294	1.941346867
295	1.939925616
296	1.938847204
297	1.937324038
298	1.936303479
299	1.934412242
300	1.93340228
301	1.931502487
302	1.930123514
303	1.929077828
304	1.927929988
305	1.927130723
306	1.925758292
307	1.924583254
308	1.921897387
309	1.920835977
310	1.918893987
311	1.917405721
312	1.91594296
313	1.91500084
314	1.912442507
315	1.910932804
316	1.909181068
317	1.907811796
318	1.906456795
319	1.905564324
320	1.904435431
321	1.902922462
322	1.902159331
323	1.901500931
324	1.900431398
325	1.89923689
326	1.897942233
327	1.89647208
328	1.894723335
329	1.893553676
330	1.892102683
331	1.891112342
332	1.890312021
333	1.88838715
334	1.887407939
335	1.886401428
336	1.885262487
337	1.882396477
338	1.881109827
339	1.879622385
340	1.878419502
341	1.877446186
342	1.876481705
343	1.87482279
344	1.873629222
345	1.872969089
346	1.871981782
347	1.870551618
348	1.868699247
349	1.86770739
350	1.865865812
351	1.864651918
352	1.863138692
353	1.861534174
354	1.858712789
355	1.858331569
356	1.857547081
357	1.855358705
358	1.854627967
359	1.853254825
360	1.852814224
361	1.850387561
362	1.849037533
363	1.847693334
364	1.846187342
365	1.844301037
366	1.843404478
367	1.842542783
368	1.840983909
369	1.840097836
370	1.838732385
371	1.837446739
372	1.835399339
373	1.834054324
374	1.832768949
375	1.831371336
376	1.829647255
377	1.828904038
378	1.828371146
379	1.827527411
380	1.826399636
381	1.825661516
382	1.823972583
383	1.823585212
384	1.822997583
385	1.822170852
386	1.820352606
387	1.819066613
388	1.818267499
389	1.817379784
390	1.817017995
391	1.816148865
392	1.815475442
393	1.814116539
394	1.812650478
395	1.811905864
396	1.810757586
397	1.809968061
398	1.809213656
399	1.808170323
400	1.806810462
401	1.805238605
402	1.803812646
403	1.802729926
404	1.801849871
405	1.799287534
406	1.796757004
407	1.795619391
408	1.794587374
409	1.793890522
410	1.792889586
411	1.791379987
412	1.790961376
413	1.790476193
414	1.789199033
415	1.787753599
416	1.785660161
417	1.78429422
418	1.78323252
419	1.782509004
420	1.781043014
421	1.780093577
422	1.777859038
423	1.776646238
424	1.774855514
425	1.77399466
426	1.77245889
427	1.770354681
428	1.76904738
429	1.768398475
430	1.767348046
431	1.767011272
432	1.765696126
433	1.765272479
434	1.764160427
435	1.762934107
436	1.761404551
437	1.760266777
438	1.759866922
439	1.75944898
440	1.758031733
441	1.757648381
442	1.757031257
443	1.756217571
444	1.755636151
445	1.754554663
446	1.754287363
447	1.753687448
448	1.753206608
449	1.75235596
450	1.751146406
451	1.750781193
452	1.74948993
453	1.747519604
454	1.746131994
455	1.745444642
456	1.744234551
457	1.743246821
458	1.742005336
459	1.740610145
460	1.737879519
461	1.736381207
462	1.734511615
463	1.733236098
464	1.732522532
465	1.731385596
466	1.730729602
467	1.728976862
468	1.728303605
469	1.727259888
470	1.726552994
471	1.725498544
472	1.72410659
473	1.723523386
474	1.722172912
475	1.720960177
476	1.719599652
477	1.718600359
478	1.717353452
479	1.716710363
480	1.715628889
481	1.714692554
482	1.713060745
483	1.711895669
484	1.710310499
485	1.708584755
486	1.707974277
487	1.706481722
488	1.705542777
489	1.704499785
490	1.702693542
491	1.702364057
492	1.701366376
493	1.70082836
494	1.700156518
495	1.698924264
496	1.697906312
497	1.696643967
498	1.696162955
499	1.694659285
500	1.693312034
501	1.692371684
502	1.691035783
503	1.689862887
504	1.688596099
505	1.688148213
506	1.68779226
507	1.68652265
508	1.683985734
509	1.683041111
510	1.682075662
511	1.680980057
512	1.679831338
513	1.678579691
514	1.678127212
515	1.677259846
516	1.67642638
517	1.675557119
518	1.674481219
519	1.673633107
520	1.672566412
521	1.67162925
522	1.670493512
523	1.669576357
524	1.66878838
525	1.6677959
526	1.666553874
527	1.665725214
528	1.665116888
529	1.664139871
530	1.663304936
531	1.662341537
532	1.661328983
533	1.660914982
534	1.659434348
535	1.65827136
536	1.656023837
537	1.65493234
538	1.654115479
539	1.653567758
540	1.651755695
541	1.650277803
542	1.649384195
543	1.649233009
544	1.647650812
545	1.646800667
546	1.645032759
547	1.643513192
548	1.64259238
549	1.641350227
550	1.640374539
551	1.639741204
552	1.638316179
553	1.637724166
554	1.636530665
555	1.63541734
556	1.634752601
557	1.63389389
558	1.633567465
559	1.633028755
560	1.632647232
561	1.631646818
562	1.630198374
563	1.629673348
564	1.628154318
565	1.62722681
566	1.626410824
567	1.625458294
568	1.62453603
569	1.623555111
570	1.623278514
571	1.622403362
572	1.621426537
573	1.620902201
574	1.620428081
575	1.619913008
576	1.618894217
577	1.618059251
578	1.616466718
579	1.615971876
580	1.615078869
581	1.614762986
582	1.613886579
583	1.612997563
584	1.612257547
585	1.611227964
586	1.610257232
587	1.609151272
588	1.608133574
589	1.607441086
590	1.606725558
591	1.605869945
592	1.604769269
593	1.603873991
594	1.603129434
595	1.602260777
596	1.600526575
597	1.599689758
598	1.598661322
599	1.598219209
600	1.597431574
601	1.596746844
602	1.596512658
603	1.595910006
604	1.594818075
605	1.593811722
606	1.5929491
607	1.59030555
608	1.589239747
609	1.588840857
610	1.588185664
611	1.587363496
612	1.584893692
613	1.583700319
614	1.582676159
615	1.582172589
616	1.581098694
617	1.580294084
618	1.57964372
619	1.578213228
620	1.577927332
621	1.576423362
622	1.575972903
623	1.574846178
624	1.573555383
625	1.572656047
626	1.572214617
627	1.570933695
628	1.570408985
629	1.56937244
630	1.569217521
631	1.568734061
632	1.567794984
633	1.567302758
634	1.56668507
635	1.565276808
636	1.564241732
637	1.563454572
638	1.561457299
639	1.561265724
640	1.5600536
641	1.558645326
642	1.557246356
643	1.556503662
644	1.555958146
645	1.555122361
646	1.554611761
647	1.55362592
648	1.552768517
649	1.551468812
650	1.551103803
651	1.549983389
652	1.548702709
653	1.547716418
654	1.547529079
655	1.546574398
656	1.545812512
657	1.544710859
658	1.543554491
659	1.541840099
660	1.541039656
661	1.540026239
662	1.538604453
663	1.537722104
664	1.536715412
665	1.535725388
666	1.533966671
667	1.532919569
668	1.532514205
669	1.531199109
670	1.530287785
671	1.529740778
672	1.529165144
673	1.527974624
674	1.527048964
675	1.52595418
676	1.525303453
677	1.524215787
678	1.523308935
679	1.521790327
680	1.520815227
681	1.519202598
682	1.518582269
683	1.517824037
684	1.516733431
685	1.515577939
686	1.515074686
687	1.513803192
688	1.512513765
689	1.511631931
690	1.51058425
691	1.510323341
692	1.509193549
693	1.508408953
694	1.507847565
695	1.506928753
696	1.505967398
697	1.50571451
698	1.504922703
699	1.504389816
700	1.503947575
701	1.502703871
702	1.501803438
703	1.500738192
704	1.500369385
705	1.499734175
706	1.498670901
707	1.498449556
708	1.497834057
709	1.496912704
710	1.495183519
711	1.494361321
712	1.494014965
713	1.493049188
714	1.492579556
715	1.492093978
716	1.4911359
717	1.490107823
718	1.489228174
719	1.488031766
720	1.487014281
721	1.486433956
722	1.485404735
723	1.484745746
724	1.484226731
725	1.482889515
726	1.482442354
727	1.481599321
728	1.480874155
729	1.479986931
730	1.479129738
731	1.478283866
732	1.477738637
733	1.47687421
734	1.475748988
735	1.474742643
736	1.473757779
737	1.473277947
738	1.472634985
739	1.471993405
740	1.471476205
741	1.470760588
742	1.470066648
743	1.469133365
744	1.467947556
745	1.467218968
746	1.465721994
747	1.465223452
748	1.464295688
749	1.463670358
750	1.463381147
751	1.462258441
752	1.462106132
753	1.461691625
754	1.460205093
755	1.459774963
756	1.459336239
757	1.458785063
758	1.457896165
759	1.456973122
760	1.456821668
761	1.455949022
762	1.454836686
763	1.454083551
764	1.453741369
765	1.452723264
766	1.451569814
767	1.450432906
768	1.449448716
769	1.448745831
770	1.447478389
771	1.446824689
772	1.445767019
773	1.444971478
774	1.444246179
775	1.442781195
776	1.442471846
777	1.441772819
778	1.441487988
779	1.440847632
780	1.439807162
781	1.438870457
782	1.438522419
783	1.437941835
784	1.436368416
785	1.435740037
786	1.435261868
787	1.434380726
788	1.433513193
789	1.433072686
790	1.432208361
791	1.431210277
792	1.430754544
793	1.429560633
794	1.427596587
795	1.426871349
796	1.426485008
797	1.425881254
798	1.425585811
799	1.425041272
800	1.424593449
801	1.423771966
802	1.422765536
803	1.422017211
804	1.420422828
805	1.419222228
806	1.41843408
807	1.417355267
808	1.416304266
809	1.415382535
810	1.414764602
811	1.414046421
812	1.412833463
813	1.411999667
814	1.411390879
815	1.410455575
816	1.409663358
817	1.409143565
818	1.408047605
819	1.406584737
820	1.406205493
821	1.405384292
822	1.404704045
823	1.403951074
824	1.403303855
825	1.402466121
826	1.401526669
827	1.400380954
828	1.400138219
829	1.399479718
830	1.398498949
831	1.397648676
832	1.396727806
833	1.396317958
834	1.395865524
835	1.395267464
836	1.395039457
837	1.394883246
838	1.394485694
839	1.393427655
840	1.392632902
841	1.39222806
842	1.391418408
843	1.390654854
844	1.390089573
845	1.389498496
846	1.389170812
847	1.388465763
848	1.387909526
849	1.387630189
850	1.38698508
851	1.3856342
852	1.384834574
853	1.384428999
854	1.383898041
855	1.382874853
856	1.382277261
857	1.3814619
858	1.380887794
859	1.380416158
860	1.380069352
861	1.379934403
862	1.379626485
863	1.379058168
864	1.378434759
865	1.377812134
866	1.377167092
867	1.376113309
868	1.374641703
869	1.374146214
870	1.373404125
871	1.372624826
872	1.372314362
873	1.371695754
874	1.370345297
875	1.368742273
876	1.367955725
877	1.367416092
878	1.366551834
879	1.365645088
880	1.365301411
881	1.36453241
882	1.363283176
883	1.362429249
884	1.361511797
885	1.360806402
886	1.359924309
887	1.359008631
888	1.358639868
889	1.358114215
890	1.35739138
891	1.35665595
892	1.35574921
893	1.355049737
894	1.354366065
895	1.353325347
896	1.352600444
897	1.352003378
898	1.351146179
899	1.350251769
900	1.348943228
901	1.348545044
902	1.348042366
903	1.347554446
904	1.347286243
905	1.346490093
906	1.345722611
907	1.344817071
908	1.344237288
909	1.343590138
910	1.342742938
911	1.341831458
912	1.341122767
913	1.340590978
914	1.338992813
915	1.338086164
916	1.337104279
917	1.336741622
918	1.336295671
919	1.336052408
920	1.335608834
921	1.334970846
922	1.334437211
923	1.333799545
924	1.332665871
925	1.3322233
926	1.331449626
927	1.331344317
928	1.33055796
929	1.329603869
930	1.328194755
931	1.327517364
932	1.327006459
933	1.326683032
934	1.326032584
935	1.325162276
936	1.324699983
937	1.323902411
938	1.323171505
939	1.322195802
940	1.321508189
941	1.320775805
942	1.319765763
943	1.318933357
944	1.317684368
945	1.317409146
946	1.317083292
947	1.316466869
948	1.315527504
949	1.314884552
950	1.314409961
951	1.313468054
952	1.313037142
953	1.311652166
954	1.310966828
955	1.309936443
956	1.309060169
957	1.308602751
958	1.308186648
959	1.307374175
960	1.306810309
961	1.306149843
962	1.305795499
963	1.305147828
964	1.304399949
965	1.303914202
966	1.303338824
967	1.302682989
968	1.301982915
969	1.301468483
970	1.300952749
971	1.300215682
972	1.299535238
973	1.298724291
974	1.2975638
975	1.297060928
976	1.296180489
977	1.295671328
978	1.295200568
979	1.294458625
980	1.293988031
981	1.293708158
982	1.292805143
983	1.292114899
984	1.291567404
985	1.291367487
986	1.290665232
987	1.29004614
988	1.289173105
989	1.288894268
990	1.28823282
991	1.287765747
992	1.287438045
993	1.287155985
994	1.286454934
995	1.285909707
996	1.285624877
997	1.284874982
998	1.284386446
999	1.283849779
